item_name,price,rating,reviews,brand_name,weighted_review
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Under Armour,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,TOMS,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Hey Dude,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Easy Spirit,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Capezio,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Brooks,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Crocs,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Nike,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Ryka,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,K-Swiss,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,adidas,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Steve Madden,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Lugz,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Merrell,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Roxy,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Columbia,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Rockport,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Cole Haan,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Dr. Scholl's Shoes,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,PUMA,113107.5
Skechers Men's Cessnock Food Service Shoe,45.67,4.5,25135,Skechers,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,New Balance,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Skechers,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Salomon,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,FootJoy,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,DREAM PAIRS,113107.5
Skechers Men's Cessnock Food Service Shoe,39.95,4.5,25135,Sperry,113107.5
Saucony Women's 8 Pairs No Show Cushioned Invisible Liner Socks,14.63,4.6,24130,Saucony,110997.99999999999
Sperry Men's Authentic Original 2-Eye Boat Shoe,55.62,4.5,24431,Sperry,109939.5
Hey Dude Women's Lily Multiple Colors | Women’s Shoes | Women’s Lace Up Loafers | Comfortable & Light-Weight,29.7,4.7,21932,Hey Dude,103080.40000000001
Rockport Men's Eureka Walking Shoe Sneaker,69.95,4.3,23808,Rockport,102374.4
Hey Dude Men's Wally Stretch | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,32.0,4.7,21711,Hey Dude,102041.7
New Balance Men's Fresh Foam Roav V1 Classic Sneaker,69.78,4.6,22130,New Balance,101797.99999999999
Salomon Men's Speedcross 4 Trail Running Shoes,95.46,4.6,21951,Salomon,100974.59999999999
"Amazon Essentials Men's Cotton Half Cushioned Crew Socks, Multipacks",19.3,4.6,21936,Amazon Essentials,100905.59999999999
Nike Men's Air Monarch Iv Cross Trainer,68.57,4.4,22763,Nike,100157.20000000001
Skechers Women's Uno-Stand on Air Sneaker,50.67,4.5,22151,Skechers,99679.5
Easy Spirit Women's Traveltime Mule,39.99,4.6,21568,Easy Spirit,99212.79999999999
Skechers Men's Superior Milford Loafer,33.59,4.6,21487,Skechers,98840.2
PUMA Women’s Carina Sneaker,52.0,4.5,21953,PUMA,98788.5
Clarks Men's Bushacre 2 Chukka Boot,45.1,4.3,22918,Clarks,98547.4
Crocs Unisex Offroad Sport Clogs,29.99,4.7,20947,Crocs,98450.90000000001
Brooks Women's Adrenaline GTS 21 Supportive Running Shoe,82.1,4.7,20837,Brooks,97933.90000000001
Skechers Women's Ghenter Bronaugh Food Service Shoe,46.12,4.4,22005,Skechers,96822.00000000001
adidas Women's Cloudfoam Pure 2.0 Running Shoe,39.99,4.4,21426,adidas,94274.40000000001
Crocs Unisex Kids Crocband Clog,39.99,4.8,19072,Crocs,91545.59999999999
Skechers Men's Cankton-U Industrial Shoe,49.61,4.4,20772,Skechers,91396.8
Skechers Men's Equalizer Persistent Slip-On Sneaker,64.94,4.5,19865,Skechers,89392.5
DREAM PAIRS Women's Chunk Low Heel Pump Sandals,45.99,4.2,21175,DREAM PAIRS,88935.0
Crocs Unisex-Adult Men's and Women's on The Clock Clog | Slip Resistant Work Shoes,33.07,4.3,20392,Crocs,87685.59999999999
Crocs unisex-adult Crockband Clogs,24.99,4.6,18842,Crocs,86673.2
Reebok Women's Classic Renaissance Sneaker,42.79,4.3,20071,Reebok,86305.3
adidas Women's Puremotion Adapt Running Shoe,46.8,4.4,19544,adidas,85993.6
Dockers Men’s Newpage Sporty Outdoor Sandal Shoe,29.99,4.5,18925,Dockers,85162.5
adidas Men's Samba Classic Soccer Shoe,74.9,4.5,18889,adidas,85000.5
Columbia Women's Newton Ridge Plus Waterproof Amped Hiking Boot,99.95,4.7,18002,Columbia,84609.40000000001
ASICS Men's Gel-Venture 8 Running Shoes,47.93,4.5,18500,ASICS,83250.0
Skechers Women's D'Lites Fresh Start Wide Fashion Sneaker,49.99,4.6,17839,Skechers,82059.4
Hey Dude Men's Wally Sox | Retired Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,36.41,4.7,17293,Hey Dude,81277.1
Crocs Unisex Bistro Graphic Clog,26.19,4.6,17607,Crocs,80992.2
Crocs Girls/Boys Crocband Moulded Croslite Strap Fastening Sandal 100% Thermoplastic,15.99,4.7,17176,Crocs,80727.2
"NIKE Men's Tanjun Sneakers, Breathable Textile Uppers and Comfortable Lightweight Cushioning",86.92,4.5,17873,Nike,80428.5
Brooks Men's Ghost 13 Running Shoe,129.95,4.7,17047,Brooks,80120.90000000001
Skechers Women's Summits-Quick Getaway Sneaker,44.95,4.6,17193,Skechers,79087.79999999999
PUMA Unisex-Adult Tazon 6 IRI Wn Sneaker,63.5,4.4,17605,PUMA,77462.0
Crocs Womens Kadee Flat,24.99,4.5,17011,Crocs,76549.5
Crocs womens Neria Pro II Clog,25.93,4.0,19021,Crocs,76084.0
Skechers for Work Men's Flex Advantage Mcallen Food Service Shoe,47.89,4.5,16328,Skechers,73476.0
Clarks Women's Warren Slip-On Loafer,54.17,4.5,16303,Clarks,73363.5
New Balance Men's 577 V1 Hook and Loop Walking Shoe,72.25,4.3,17056,New Balance,73340.8
Brooks Men's Ghost 14 Neutral Running Shoe,89.95,4.7,15584,Brooks,73244.8
Reebok Men's Classic Harman Run Sneaker,54.95,4.4,16532,Reebok,72740.8
Clarks Women's Arla Glison Flip Flop,38.99,4.6,15630,Clarks,71898.0
"Amazon Essentials Women's Casual Crew Socks, 6 Pairs",12.3,4.6,15596,Amazon Essentials,71741.59999999999
ASICS Women's Gel-Venture 8 Running Shoes,39.99,4.4,16239,ASICS,71451.6
Crocs Unisex-Adult All Terrain Clogs with Adjustable Heel Strap,41.24,4.6,15378,Crocs,70738.79999999999
"Amazon Essentials Boys and Toddlers' Cotton Crew Sock, 10 Pairs",14.3,4.7,15007,Amazon Essentials,70532.90000000001
adidas Men's Lite Racer Adapt 4.0 Running Shoe,44.5,4.5,15314,adidas,68913.0
Skechers Men's Relaxed Fit-Creston-Moseco,42.88,4.7,14316,Skechers,67285.2
Skechers Men's Expected Gomel Slip-On Loafer,41.99,4.6,14569,Skechers,67017.4
Merrell Men's Moab 2 Mid Waterproof Hiking Boot,89.95,4.6,14499,Merrell,66695.4
Sperry Women’s Crest Vibe Sneaker,41.81,4.5,14664,Sperry,65988.0
DREAM PAIRS Women's Revona Low Wedge Ankle Strap Flats Shoes,39.99,4.3,15278,DREAM PAIRS,65695.4
Cole Haan Men's Grand Crosscourt II Sneakers,66.89,4.5,14418,Cole Haan,64881.0
Crocs Women's Kadee Ii Sandals,29.98,4.2,15412,Crocs,64730.4
adidas Originals Unisex-Child Superstar Sneaker,31.27,4.7,13769,adidas Originals,64714.3
TOMS Women's Alpargata Slip-On,40.45,4.5,14357,TOMS,64606.5
Crocs unisex-adult Classic Clog,24.99,4.8,13361,Crocs,64132.799999999996
K-Swiss Men's ST329 CMF Sneaker,74.95,4.7,13641,K-Swiss,64112.700000000004
adidas Originals Men's X_PLR Running Shoe,53.3,4.6,13885,adidas Originals,63870.99999999999
adidas Originals Men's Superstar Sneaker,75.9,4.6,13838,adidas Originals,63654.799999999996
DREAM PAIRS Women's Lowpointed Low Heel Dress Pump Shoes,34.29,4.4,14400,DREAM PAIRS,63360.00000000001
Skechers Sport Men's Stamina Nuovo Cutback Lace-Up Sneaker,42.99,4.6,13712,Skechers,63075.2
Crocs unisex-child Classic Realtree Clog,29.99,4.9,12800,Crocs,62720.00000000001
Amazon Essentials Women's Thong Sandal,14.2,4.3,14574,Amazon Essentials,62668.2
DREAM PAIRS ANNEE Pointed Toe Low Chunky Heels Pump Shoes,49.99,4.3,14529,DREAM PAIRS,62474.7
Skechers for Work Women's Sure Track Trickel Slip Resistant Work Shoe,51.59,4.5,13819,Skechers,62185.5
Capezio Unisex-Child Jr. Tyette Tap Shoe Dance,32.2,4.7,13163,Capezio,61866.100000000006
Clarks Women's Ashland Lily Loafer,36.45,4.4,13941,Clarks,61340.4
Skechers Men's Nampa-Groton Food Service Shoe,49.55,4.4,13941,Skechers,61340.4
DREAM PAIRS Women's Amore Fashion Stilettos Open Toe Pump Heel Sandals,30.99,4.5,13501,DREAM PAIRS,60754.5
